account_id,merchant_id,direction,amount_cents,txn_date
20667,,C,0,2025-03-21
5816,,C,8379,2025-03-21
12835,,C,3428,2025-03-18
17988,3118,D,24291,2025-03-20
20881,3109,D,21310,2025-03-23
7194,3448,D,1562,2025-03-23
11031,3368,D,33518,2025-03-22
15150,3289,D,46848,2025-03-23
19021,3298,D,45000,2025-03-17
7626,3395,D,54972,2025-03-21
7010,3458,D,42827,2025-03-23
10703,3435,D,20641,2025-03-19
6975,3392,D,43430,2025-03-18
3823,,C,2961,2025-03-21
21054,,C,490710,2025-03-20
13054,,C,13396,2025-03-21
8458,3163,D,4027,2025-03-19
3585,3142,D,32766,2025-03-19
17392,3271,D,62452,2025-03-20
12993,3468,D,60809,2025-03-23
6370,,C,9837,2025-03-18
6889,3432,D,27840,2025-03-22
19739,3061,D,-6055,2025-03-19
7927,3175,D,46220,2025-03-17
15352,3450,D,7293,2025-03-20
18790,3351,D,14258,2025-03-23
17364,3472,D,53964,2025-03-20
20894,3207,D,30467,2025-03-19
7035,3102,D,66500,2025-03-17
6374,3206,D,49719,2025-03-23
17574,3101,D,-2338,2025-03-23
9273,3493,D,8661,2025-03-23
16039,,C,394765,2025-03-19
13062,3066,D,1816,2025-03-18
12526,3468,D,19653,2025-03-22
20689,,C,358899,2025-03-20
12040,,C,1160,2025-03-22
6794,3392,D,69819,2025-03-23
13732,,C,15758,2025-03-18
21096,3031,D,49706,2025-03-17
7865,3499,D,62606,2025-03-18
18914,3384,D,67220,2025-03-20
17904,3107,D,56739,2025-03-23
4527,3299,D,7945,2025-03-19
3990,3016,D,37454,2025-03-23
8108,3316,D,3690,2025-03-22
20188,3340,D,40396,2025-03-21
19816,3041,D,45910,2025-03-23
8505,3397,D,8966,2025-03-23
20127,3298,D,73360,2025-03-21
6145,3171,D,9259,2025-03-23
12697,3173,D,55862,2025-03-23
7244,3277,D,33524,2025-03-21
20335,3479,D,70102,2025-03-21
17131,3003,D,37742,2025-03-21
15693,,C,408288,2025-03-19
9798,3478,D,39577,2025-03-19
6572,3201,D,71912,2025-03-22
7776,3314,D,63576,2025-03-19
7966,3247,D,63968,2025-03-22
3833,,C,3907,2025-03-21
8291,3375,D,74032,2025-03-18
7308,3017,D,55279,2025-03-18
3774,3180,D,61052,2025-03-17
10417,,C,21069,2025-03-18
6514,3197,D,3929,2025-03-18
19934,,C,22311,2025-03-23
7607,3244,D,57801,2025-03-19
2503,3330,D,61610,2025-03-23
12904,3287,D,51096,2025-03-19
5304,3233,D,73781,2025-03-18
13416,3037,D,49045,2025-03-20
8965,3207,D,36115,2025-03-20
20791,,C,0,2025-03-18
16399,3295,D,49104,2025-03-20
11547,3019,D,59298,2025-03-20
13065,3122,D,6711,2025-03-23
13767,3071,D,57926,2025-03-19
7614,,C,270297,2025-03-18
3597,3019,D,72373,2025-03-22
5788,,C,79004,2025-03-19
7268,,C,2305,2025-03-18
21481,3479,D,63300,2025-03-21
2955,,C,485789,2025-03-22
6703,3356,D,920,2025-03-19
11545,3414,D,16548,2025-03-23
16201,3334,D,61766,2025-03-20
11058,3116,X,35926,2025-03-19
10664,3235,D,29397,2025-03-21
3204,,C,13380,2025-03-18
18528,3498,D,66178,2025-03-20
11695,3484,D,15518,2025-03-17
10572,3500,D,28195,2025-03-23
14553,3403,D,8481,2025-03-20
13047,3462,D,50969,2025-03-19
20412,3111,D,30625,2025-03-21
12544,,C,1048,2025-03-18
16809,3482,D,13725,2025-03-21
8789,,C,237851,2025-03-20
5171,3145,D,38803,2025-03-17
3825,3099,D,36746,2025-03-23
10170,3173,D,22622,2025-03-20
4277,,C,5324,2025-03-23
2780,3189,D,35192,2025-03-19
10102,3315,D,47247,2025-03-20
20643,3157,D,35719,2025-03-20
18558,3324,D,1630,2025-03-17
9735,3187,D,28397,2025-03-22
17994,3203,D,60465,2025-03-21
15259,3474,D,10642,2025-03-23
13485,3245,D,14720,2025-03-18
4767,3338,D,34476,2025-03-18
6942,3060,D,10596,2025-03-19
12392,,C,358496,2025-03-20
12703,3205,D,12681,2025-03-23
20176,3242,D,26477,2025-03-23
12231,3022,D,60644,2025-03-18
16921,3168,D,10552,2025-03-23
14198,3296,D,11901,2025-03-19
20882,3152,D,64985,2025-03-18
4326,3087,D,9426,2025-03-21
10217,3139,D,12636,2025-03-23
3525,,C,456950,2025-03-22
15913,3358,D,16134,2025-03-17
8199,3445,D,17220,2025-03-18
18356,3440,D,17922,2025-03-20
20244,3402,D,-2869,2025-03-21
20011,3380,D,61441,2025-03-17
10780,3321,D,29874,2025-03-18
11477,,C,359913,2025-03-18
16327,3479,D,26063,2025-03-21
2997,3351,D,14299,2025-03-21
8962,3233,D,62886,2025-03-21
15432,,C,4656,2025-03-23
19480,3142,D,65120,2025-03-20
12490,,C,2051,2025-03-19
7472,3075,D,58178,2025-03-21
6986,3021,D,563,2025-03-20
9354,3089,D,47955,2025-03-23
16863,3399,D,2876,2025-03-22
12214,3152,D,72519,2025-03-22
19280,,C,470,2025-03-17
5384,,C,3943,2025-03-23
4170,3071,D,5302,2025-03-22
19268,3141,D,71246,2025-03-21
11700,3411,D,71069,2025-03-19
20501,3241,D,37985,2025-03-23
4101,3314,D,7964,2025-03-17
9608,3486,D,18477,2025-03-23
18746,,C,0,2025-03-22
17624,3033,D,8247,2025-03-17
15412,3487,D,65129,2025-03-23
15888,,C,148302,2025-03-23
19818,3010,X,11166,2025-03-18
12053,3304,D,60036,2025-03-17
12246,3077,D,27195,2025-03-20
8481,3439,D,3148,2025-03-20
18664,3171,D,51205,2025-03-20
17670,3264,D,74214,2025-03-19
19291,3467,D,33555,2025-03-23
6021,,C,3586,2025-03-19
13595,3496,D,20016,2025-03-22
2057,3489,D,15064,2025-03-21
15065,3191,D,37279,2025-03-22
9140,3222,D,68869,2025-03-18
5422,3444,D,58576,2025-03-17
9350,3255,D,8424,2025-03-17
10895,,C,1847,2025-03-23
10772,3318,D,-1208,2025-03-17
9764,3116,D,45048,2025-03-21
14641,3394,D,51460,2025-03-19
2193,3258,D,304,2025-03-18
4985,3023,D,31449,2025-03-23
6581,3392,D,52553,2025-03-19
13120,3405,D,51573,2025-03-19
4366,3072,D,4147,2025-03-21
9999,3052,D,53860,2025-03-18
20468,3463,D,17140,2025-03-18
11957,3193,D,4937,2025-03-17
12279,3043,D,13580,2025-03-22
9013,3199,D,56406,2025-03-21
3681,3261,D,47693,2025-03-21
15578,,C,1931,2025-03-17
11818,3396,D,18902,2025-03-20
20016,3401,D,-699,2025-03-23
19303,3221,D,6852,2025-03-21
19586,,C,0,2025-03-23
16879,3423,D,12214,2025-03-18
3246,,C,1945,2025-03-20
8003,3324,D,61612,2025-03-21
8919,,C,2560,2025-03-20
17933,3119,D,65932,2025-03-17
6420,,C,75025,2025-03-18
10897,3192,D,74194,2025-03-23
21065,3049,D,1192,2025-03-23
11569,3380,D,40476,2025-03-17
17813,,C,108254,2025-03-22
20462,3159,D,54645,2025-03-22
15961,3343,D,48996,2025-03-17
18338,,C,9588,2025-03-20
13721,3442,D,37783,2025-03-17
9774,3230,D,10063,2025-03-22
7800,3100,D,55895,2025-03-22
20078,3152,D,40935,2025-03-22
9432,3128,D,33951,2025-03-19
12345,3321,D,42136,2025-03-21
12956,3330,D,61058,2025-03-18
6142,3241,D,17619,2025-03-23
16479,3091,D,45912,2025-03-22
3012,3037,D,51061,2025-03-17
3535,3490,D,35595,2025-03-23
15093,,C,9628,2025-03-19
11184,3014,D,72287,2025-03-21
5952,3388,D,61886,2025-03-21
15728,,C,11366,2025-03-17
2749,,C,962,2025-03-19
8071,,C,457034,2025-03-18
6188,3039,D,63740,2025-03-18
