account_id,merchant_id,direction,amount_cents,txn_date
34775,3694,D,38501,2025-03-23
199106,,C,9466,2025-03-18
55147,3275,D,73244,2025-03-17
33743,3528,D,29143,2025-03-21
52144,3578,D,37020,2025-03-17
59355,3263,D,62567,2025-03-22
116978,3039,D,43876,2025-03-18
143421,,C,408110,2025-03-20
72163,3436,D,44303,2025-03-18
19188,3027,D,66585,2025-03-19
44958,3556,D,14807,2025-03-22
109118,3902,D,67182,2025-03-23
174075,3075,D,21766,2025-03-22
49745,3965,D,58073,2025-03-22
87773,3300,D,16379,2025-03-17
77622,3949,D,52346,2025-03-17
70783,3798,D,22717,2025-03-20
112632,,C,439048,2025-03-20
171361,3959,D,3145,2025-03-18
164579,3386,D,15053,2025-03-19
93710,3930,D,30063,2025-03-17
47594,,C,6794,2025-03-20
117878,3181,D,5751,2025-03-20
172997,3471,D,25534,2025-03-17
173853,3679,D,2555,2025-03-22
86996,3393,D,37111,2025-03-18
51820,3699,D,47888,2025-03-19
39659,3219,D,59749,2025-03-23
19197,3622,D,2815,2025-03-17
37421,3869,D,9199,2025-03-20
94772,,C,14057,2025-03-23
123170,3282,D,27199,2025-03-23
158829,3790,D,15812,2025-03-19
62395,,C,2159,2025-03-17
159814,,C,450674,2025-03-18
150883,3712,D,17137,2025-03-20
143545,,C,322672,2025-03-21
157634,3815,D,35233,2025-03-21
7824,,C,0,2025-03-23
165309,3785,D,37337,2025-03-20
60859,3692,D,69041,2025-03-23
74873,3327,D,40195,2025-03-17
145004,3709,D,64021,2025-03-22
119971,3295,D,16280,2025-03-18
180432,3785,D,24071,2025-03-18
76180,3182,D,45766,2025-03-19
192532,3513,D,30182,2025-03-19
23438,3303,D,24757,2025-03-22
186800,3608,D,10410,2025-03-22
78420,3606,D,11865,2025-03-19
17622,3006,D,50993,2025-03-19
123770,3642,D,31081,2025-03-23
169341,,C,23431,2025-03-19
4538,,C,0,2025-03-20
128587,3428,D,35385,2025-03-18
134170,,C,3256,2025-03-17
53117,3646,D,3831,2025-03-20
144030,3930,D,22515,2025-03-18
116987,3132,D,8889,2025-03-23
82858,3160,D,70455,2025-03-23
161697,3729,D,23750,2025-03-20
86906,3516,D,36464,2025-03-23
26775,3080,D,8660,2025-03-18
160168,3289,D,9218,2025-03-20
48496,3027,D,14982,2025-03-21
80561,3485,D,8118,2025-03-22
119387,3500,D,74790,2025-03-21
124875,,C,19358,2025-03-22
51814,3926,D,71874,2025-03-22
51537,,C,4259,2025-03-22
78597,3822,D,50614,2025-03-21
41259,3165,D,72961,2025-03-23
61803,3536,D,58707,2025-03-23
147572,,C,212910,2025-03-23
26059,,C,413653,2025-03-21
69717,,C,141268,2025-03-23
100786,3188,D,73484,2025-03-23
166456,3561,D,62363,2025-03-17
103487,3638,D,3357,2025-03-21
54900,3712,D,12515,2025-03-17
104030,,C,17289,2025-03-18
136808,3188,D,38554,2025-03-21
132629,3314,D,39292,2025-03-20
38205,3348,D,53579,2025-03-18
3744,3190,D,14669,2025-03-17
4077,3405,D,8660,2025-03-17
165722,3167,D,69212,2025-03-17
120901,3288,D,62961,2025-03-23
