account_id,merchant_id,direction,amount_cents,txn_date
6572,3380,D,65782,2025-03-26
9511,3424,D,5789,2025-03-30
11335,3489,D,59488,2025-03-24
9276,,C,368856,2025-03-29
18047,3103,D,58967,2025-03-25
14955,3454,D,56120,2025-03-25
15510,3164,D,40138,2025-03-24
5059,3470,D,70290,2025-03-27
2745,3242,D,22396,2025-03-27
14213,3471,D,15493,2025-03-30
16952,3127,D,52932,2025-03-28
2470,3022,D,32168,2025-03-28
4839,,C,8098,2025-03-25
11390,3414,D,44476,2025-03-27
18252,3091,D,52033,2025-03-26
4043,,C,0,2025-03-30
13744,,C,5548,2025-03-30
14869,3087,D,36301,2025-03-25
4177,3368,D,27183,2025-03-27
15244,3002,D,38593,2025-03-28
4454,3395,D,18610,2025-03-30
7187,,C,0,2025-03-26
6583,3100,D,21805,2025-03-27
3180,3186,D,70819,2025-03-26
17441,3215,D,33562,2025-03-28
15145,3061,B,20153,2025-03-27
11478,,C,0,2025-03-29
17474,,C,487748,2025-03-27
6622,3173,D,67930,2025-03-29
11007,3477,D,10778,2025-03-30
2186,3406,D,-6392,2025-03-27
10958,3321,D,27599,2025-03-26
5639,,C,17135,2025-03-24
3280,3055,D,31359,2025-03-30
8831,3413,D,43351,2025-03-29
4386,3285,D,59803,2025-03-25
21450,3229,D,35395,2025-03-24
19254,3421,D,35966,2025-03-28
10037,3356,D,640,2025-03-29
7309,3388,D,38468,2025-03-30
18352,3292,D,19367,2025-03-30
19986,3242,D,20514,2025-03-26
12753,3030,D,59035,2025-03-29
8111,,C,234261,2025-03-27
8142,3360,D,45776,2025-03-25
18549,,C,3155,2025-03-27
11479,3101,D,7082,2025-03-29
11508,3110,D,42825,2025-03-27
13314,,C,271809,2025-03-29
18312,3416,D,18836,2025-03-28
15504,3406,D,39069,2025-03-25
20761,3463,D,47139,2025-03-28
21795,,C,945,2025-03-28
3124,3019,D,59843,2025-03-29
21424,3247,D,66199,2025-03-29
16343,3301,D,41011,2025-03-27
13827,,C,79376,2025-03-29
9566,3348,D,14278,2025-03-27
2691,3277,D,26858,2025-03-25
4441,3368,D,22397,2025-03-26
18705,3428,D,71358,2025-03-26
11574,,C,3028,2025-03-29
15042,3135,D,43069,2025-03-24
12893,3230,D,40129,2025-03-27
15805,3169,D,49312,2025-03-27
4991,3414,D,863,2025-03-28
5984,3153,B,29695,2025-03-27
10337,3126,D,72534,2025-03-25
6622,,C,199353,2025-03-25
12516,3445,D,29813,2025-03-24
4723,,C,3653,2025-03-26
13130,3212,D,49495,2025-03-27
11482,3497,D,64417,2025-03-28
19577,,C,0,2025-03-27
21721,,C,2507,2025-03-25
20035,3473,D,20205,2025-03-28
17068,3307,D,6214,2025-03-30
11817,,C,281,2025-03-25
10969,,C,687,2025-03-25
16004,3029,D,37839,2025-03-26
21808,,C,5114,2025-03-26
4039,3033,D,55820,2025-03-26
3388,3365,D,17408,2025-03-27
10127,3398,D,11585,2025-03-25
11685,3219,D,55865,2025-03-24
21585,3459,D,59631,2025-03-28
18577,,C,70182,2025-03-29
4191,,C,167922,2025-03-29
14202,3389,D,74926,2025-03-25
6204,,C,307946,2025-03-25
4830,3235,D,44827,2025-03-28
8855,3166,D,10406,2025-03-24
7382,3255,D,43002,2025-03-30
5056,3463,D,68599,2025-03-24
11813,3084,D,35972,2025-03-24
17660,3049,D,48550,2025-03-28
21841,,C,0,2025-03-26
15659,3232,D,68891,2025-03-29
13395,3118,D,34284,2025-03-27
4075,3120,D,3600,2025-03-29
4913,3406,D,58529,2025-03-29
21026,,C,0,2025-03-29
2650,3291,D,26052,2025-03-25
10636,3066,D,3297,2025-03-26
18761,3250,D,17462,2025-03-26
19332,3345,D,26507,2025-03-28
15972,3293,D,1717,2025-03-25
6975,3225,D,51883,2025-03-25
21756,,C,0,2025-03-25
10600,3387,D,2575,2025-03-29
12090,3139,D,19364,2025-03-30
13953,3482,D,26101,2025-03-29
10705,,C,4075,2025-03-24
15866,3359,D,64532,2025-03-24
2135,3325,D,41074,2025-03-24
21381,,C,3491,2025-03-25
20786,3329,D,35827,2025-03-29
10937,3339,D,26768,2025-03-28
19159,3269,D,61068,2025-03-25
2988,3288,D,6722,2025-03-24
17198,3210,D,58306,2025-03-28
4355,3305,D,30367,2025-03-25
12552,,C,2613,2025-03-30
5074,3343,D,54456,2025-03-27
10057,3244,D,49436,2025-03-28
21398,3495,D,1947,2025-03-25
21263,3250,D,923,2025-03-28
13506,3042,Z,2904,2025-03-28
11216,3422,D,64799,2025-03-29
3184,,C,0,2025-03-24
9200,3484,D,13433,2025-03-25
16592,3366,D,39198,2025-03-24
14867,,C,678,2025-03-26
13470,3312,D,16727,2025-03-25
11154,3395,D,72859,2025-03-29
17628,3007,D,35545,2025-03-28
2873,,C,3541,2025-03-30
11848,3500,X,16911,2025-03-29
2472,,C,1434,2025-03-27
12143,3444,D,11534,2025-03-30
12964,3198,D,25001,2025-03-28
2010,3075,D,21892,2025-03-28
2310,3133,D,57581,2025-03-27
13747,3314,D,30746,2025-03-27
11582,3114,D,8525,2025-03-24
2825,3456,D,7899,2025-03-29
3211,,C,15605,2025-03-29
11260,,C,0,2025-03-27
13542,3095,D,68016,2025-03-30
15959,3064,D,22658,2025-03-26
3866,3361,D,7942,2025-03-28
15220,3167,D,914,2025-03-29
11638,3211,D,5106,2025-03-26
4427,3284,D,38909,2025-03-24
7290,3451,D,30687,2025-03-26
2881,3141,D,44450,2025-03-30
2921,3083,D,14988,2025-03-25
21283,3338,D,19553,2025-03-24
7794,3315,D,66595,2025-03-29
2243,3089,D,47525,2025-03-29
13889,3445,D,19377,2025-03-29
16476,3248,D,23127,2025-03-28
4727,,C,3307,2025-03-25
20133,3363,D,34652,2025-03-26
4284,3490,D,54688,2025-03-27
13897,3280,D,5820,2025-03-27
18026,3171,X,31739,2025-03-28
8968,,C,242783,2025-03-28
5753,3051,D,56585,2025-03-25
6472,3077,D,28991,2025-03-29
10804,,C,18814,2025-03-30
6517,3463,D,15002,2025-03-27
17873,3055,D,-5788,2025-03-26
7396,,C,210097,2025-03-27
3211,3103,D,-5936,2025-03-29
15823,,C,0,2025-03-29
16511,3450,D,9699,2025-03-24
3560,3256,D,69801,2025-03-30
15750,3078,D,7327,2025-03-25
3234,,C,328181,2025-03-25
14290,,C,2696,2025-03-24
7034,3078,D,26101,2025-03-27
13349,3326,D,51467,2025-03-27
4852,3218,D,57233,2025-03-26
12623,3408,D,71085,2025-03-29
4139,3404,D,70479,2025-03-25
2870,,C,3436,2025-03-29
18319,3324,D,23153,2025-03-28
14588,,C,268936,2025-03-27
