account_id,merchant_id,direction,amount_cents,txn_date
38255,,C,21970,2025-03-27
154442,3109,D,8905,2025-03-29
59337,3967,D,20016,2025-03-28
132386,,C,3824,2025-03-30
125641,3904,D,4736,2025-03-30
133625,3635,D,45779,2025-03-27
112328,,C,6411,2025-03-27
23571,3561,D,64851,2025-03-24
116715,3863,D,399,2025-03-26
29546,3032,D,33275,2025-03-26
120237,3040,D,23907,2025-03-29
176880,3447,D,51520,2025-03-29
120106,3952,D,19746,2025-03-25
44204,3003,D,27564,2025-03-26
34560,,C,10342,2025-03-26
116364,3039,D,8375,2025-03-28
103564,3342,D,43484,2025-03-24
125137,3064,D,67454,2025-03-27
161467,3953,D,12343,2025-03-30
192214,3290,D,37943,2025-03-30
56229,3622,D,-1650,2025-03-29
71455,3195,D,43111,2025-03-28
9458,3376,D,32614,2025-03-25
99974,3654,D,7206,2025-03-30
162171,,C,1624,2025-03-30
21249,3177,B,33482,2025-03-24
120799,3968,D,20092,2025-03-27
70611,3734,D,-5667,2025-03-27
129175,,C,5420,2025-03-29
68033,3916,D,59340,2025-03-27
116922,3820,D,47818,2025-03-26
26443,3974,D,33360,2025-03-24
145478,3204,D,45894,2025-03-27
45722,3638,D,60736,2025-03-30
55842,3546,D,73536,2025-03-29
196505,3886,D,28018,2025-03-28
65901,3520,D,68756,2025-03-27
91849,3968,D,19527,2025-03-26
94914,3494,D,4786,2025-03-24
72097,3160,D,42908,2025-03-24
119339,3909,D,38330,2025-03-25
75273,3608,D,64827,2025-03-27
149026,3814,D,59386,2025-03-26
29557,3795,D,13639,2025-03-30
35587,3076,D,41862,2025-03-28
173746,3295,D,37712,2025-03-28
170730,,C,89974,2025-03-30
72261,3959,D,53956,2025-03-30
164128,3826,D,53595,2025-03-29
200848,3646,D,64419,2025-03-29
127256,3379,D,72482,2025-03-28
129460,3269,D,53443,2025-03-27
152951,,C,3945,2025-03-27
112780,,C,0,2025-03-29
16130,,C,23729,2025-03-28
77240,3415,D,-6765,2025-03-30
38295,3719,D,-7114,2025-03-29
104687,3941,D,72304,2025-03-26
59455,3675,D,55926,2025-03-28
160918,3521,D,49945,2025-03-24
95406,3816,D,27300,2025-03-28
130594,,C,0,2025-03-26
174679,3015,Z,23590,2025-03-30
70727,3660,D,29764,2025-03-30
127817,3170,D,7144,2025-03-27
187575,3525,D,74450,2025-03-26
115161,3208,D,19003,2025-03-24
176214,3335,D,40964,2025-03-29
153878,3456,D,29127,2025-03-29
5339,3632,D,41592,2025-03-25
139519,3225,D,34889,2025-03-26
40074,3310,D,32468,2025-03-27
138374,3931,D,45318,2025-03-29
16071,3196,D,15005,2025-03-29
27873,,C,1934,2025-03-25
73681,3691,B,16822,2025-03-29
16634,,C,392,2025-03-25
152294,,C,9171,2025-03-25
116819,3227,D,30306,2025-03-29
39673,,C,0,2025-03-30
114181,3700,D,73218,2025-03-26
163644,,C,502,2025-03-27
23274,,C,448460,2025-03-30
150388,3327,D,31700,2025-03-30
149217,3621,D,38326,2025-03-29
145332,3110,D,-9028,2025-03-25
132873,3944,D,70056,2025-03-27
91776,3597,D,39692,2025-03-24
156673,3507,D,-1518,2025-03-28
78036,,C,380465,2025-03-27
28681,3898,D,37206,2025-03-25
188651,3915,D,53681,2025-03-25
181381,3101,D,69551,2025-03-24
115206,3282,B,6133,2025-03-25
26943,3053,D,74996,2025-03-24
112537,,C,4882,2025-03-26
155024,3860,D,70576,2025-03-30
38757,3776,D,9205,2025-03-27
94302,3229,D,45795,2025-03-26
96846,3074,D,23068,2025-03-29
198836,,C,715,2025-03-24
76233,3680,D,5311,2025-03-24
167603,3834,D,-7685,2025-03-28
183578,,C,50142,2025-03-30
186134,3658,D,42995,2025-03-29
95962,3071,D,47024,2025-03-28
180146,,C,1845,2025-03-28
40019,,C,4495,2025-03-28
135355,3633,D,46348,2025-03-24
58945,3074,D,18516,2025-03-29
137847,3244,D,59081,2025-03-26
34974,,C,4936,2025-03-28
78882,3737,D,64338,2025-03-30
155265,3837,D,30848,2025-03-26
71959,3685,D,6417,2025-03-26
34162,3174,D,13806,2025-03-29
167607,,C,89079,2025-03-25
93051,3950,D,42657,2025-03-25
57134,3054,D,22358,2025-03-28
7724,3761,D,29080,2025-03-24
138051,,C,3052,2025-03-26
194754,3750,D,54616,2025-03-29
107649,3271,D,65627,2025-03-25
16814,3654,D,50806,2025-03-25
156257,3133,D,30724,2025-03-28
161490,3214,X,364,2025-03-27
147850,3076,D,17712,2025-03-25
63841,3989,D,67708,2025-03-27
86991,3904,D,38260,2025-03-30
163705,,C,459504,2025-03-29
87303,3155,D,73154,2025-03-25
167314,3829,D,74582,2025-03-28
199352,3412,D,41389,2025-03-28
192694,,C,348783,2025-03-30
85189,3802,D,14592,2025-03-30
189563,3905,D,47326,2025-03-25
57204,3859,D,22755,2025-03-25
72355,3448,D,32538,2025-03-24
